id,host_id,host_name,latitude,longitude,room_type,price,minimum_nights,last_review,calculated_host_listings_count,availability_365
36299,155938,Geert,51.47934,-0.28066,Entire home/apt,195.00 ,3,2021/8/29,1,345
43202,188559,Calypso,51.53033,-0.21734,Entire home/apt,120.00 ,5,2020/10/15,1,89
44237,193280,Sally,51.4743,-0.19204,Private room,55.00 ,1,2021/8/8,2,60
49970,216660,Boris,51.49462,-0.22923,Hotel room,45.00 ,1,2021/7/22,12,2
63948,216660,Boris,51.49402,-0.22724,Entire home/apt,45.00 ,3,2021/3/25,12,235
65638,320901,Mike,51.48642,-0.09557,Entire home/apt,75.00 ,7,2020/10/23,4,200
81449,441736,Kris,51.51061,-0.06646,Entire home/apt,128.00 ,5,2020/11/9,2,0
84532,462165,Murielle,51.57552,-0.06052,Private room,31.00 ,2,2021/9/6,1,68
87514,352607,Andrea,51.52479,-0.11648,Entire home/apt,129.00 ,3,2021/8/2,1,320
89870,54730,Alina,51.56792,-0.11125,Entire home/apt,145.00 ,1,2021/8/30,2,359
90700,491286,Chil,51.51109,-0.19842,Entire home/apt,93.00 ,2,2021/4/5,2,259
93734,497514,William,51.47635,0.0128,Private room,41.00 ,4,2020/10/29,1,224
97178,510439,Sallyjo,51.52099,-0.22852,Private room,49.00 ,2,2021/8/26,1,336
107051,554519,Meg,51.52245,-0.18275,Entire home/apt,164.00 ,2,2021/7/9,1,269
165336,761400,Nathan,51.51735,-0.21076,Entire home/apt,50.00 ,2,2021/9/3,1,0
175892,769488,Tanja,51.52948,-0.08591,Entire home/apt,155.00 ,5,2021/7/31,7,290
214755,1026967,James,51.51146,-0.2021,Entire home/apt,457.00 ,5,2021/6/26,2,95
236956,979363,Donovan,51.50453,-0.10742,Private room,43.00 ,1,2020/10/10,6,317
241975,1269568,Iki,51.56094,-0.10893,Private room,29.00 ,2,2021/6/30,2,316
244125,1270755,Claire,51.52932,-0.08094,Entire home/apt,543.00 ,1,2021/9/2,3,341
270600,1416605,Emma,51.44267,-0.33194,Entire home/apt,71.00 ,4,2021/8/20,1,137
271815,444388,Marie,51.52084,-0.20609,Entire home/apt,136.00 ,14,2021/6/6,1,299
277580,381894,Eddy,51.49281,-0.30921,Entire home/apt,124.00 ,3,2020/11/2,29,319
284532,1481412,Luca,51.52851,-0.07426,Entire home/apt,70.00 ,5,2020/12/15,1,215
305573,281951,Ed,51.49608,-0.09713,Entire home/apt,70.00 ,15,2021/8/30,1,176
310949,1599044,Robert And Antonio,51.49883,0.10547,Private room,34.00 ,3,2020/11/2,1,345
315238,1619024,Sally,51.47565,-0.15073,Entire home/apt,170.00 ,2,2021/8/23,2,326
